 Trial 	 Generation 	 CoverEpsilon 	 PackingEpsilon 	 MinArchiveSparseness 	 ArchiveSize 
 1 	101 	10 	5 	1.66666666667 	33
 1 	102 	10 	5 	1.66666666667 	33
 1 	103 	9 	5 	1.66666666667 	34
 1 	104 	9 	5 	1.66666666667 	35
 1 	105 	10 	5 	1.66666666667 	35
 1 	106 	9 	5 	1.66666666667 	36
 1 	107 	10 	5 	1.66666666667 	36
 1 	108 	10 	5 	1.66666666667 	36
 1 	109 	9 	5 	1.66666666667 	36
 1 	110 	9 	5 	1.66666666667 	37
 1 	111 	9 	5 	1.66666666667 	37
 1 	112 	9 	5 	1.66666666667 	38
 1 	113 	9 	5 	1.66666666667 	38
 1 	114 	9 	5 	1.66666666667 	39
 1 	115 	9 	5 	1.66666666667 	40
 1 	116 	10 	5 	1.66666666667 	40
 1 	117 	9 	5 	1.66666666667 	40
 1 	118 	9 	5 	1.66666666667 	40
 1 	119 	10 	5 	1.66666666667 	40
 1 	120 	10 	5 	1.66666666667 	41
 1 	121 	9 	5 	1.66666666667 	42
 1 	122 	9 	5 	1.66666666667 	43
 1 	123 	9 	5 	1.66666666667 	43
 1 	124 	10 	5 	1.66666666667 	43
 1 	125 	9 	5 	1.66666666667 	43
 1 	126 	9 	5 	1.66666666667 	43
 1 	127 	9 	5 	1.66666666667 	44
 1 	128 	9 	5 	1.66666666667 	45
 1 	129 	9 	5 	1.66666666667 	45
 1 	130 	9 	5 	1.66666666667 	45
 1 	131 	9 	5 	1.66666666667 	45
 1 	132 	9 	5 	1.66666666667 	46
 1 	133 	9 	5 	1.66666666667 	46
 1 	134 	9 	5 	1.66666666667 	46
 1 	135 	9 	5 	1.66666666667 	47
 1 	136 	10 	5 	1.66666666667 	48
 1 	137 	10 	5 	1.66666666667 	49
 1 	138 	9 	5 	1.66666666667 	49
 1 	139 	9 	5 	1.66666666667 	50
 1 	140 	10 	5 	1.66666666667 	51
 1 	141 	9 	5 	1.66666666667 	52
 1 	142 	9 	5 	1.66666666667 	53
 1 	143 	9 	5 	1.66666666667 	54
 1 	144 	9 	5 	1.66666666667 	54
 1 	145 	9 	5 	1.66666666667 	55
 1 	146 	9 	5 	1.66666666667 	55
 1 	147 	9 	5 	1.66666666667 	55
 1 	148 	9 	5 	1.66666666667 	56
 1 	149 	9 	5 	1.66666666667 	56
 1 	150 	9 	5 	1.66666666667 	57
 1 	151 	9 	5 	1.66666666667 	57
 1 	152 	9 	5 	1.66666666667 	58
 1 	153 	9 	5 	1.66666666667 	58
 1 	154 	8 	5 	1.66666666667 	59
 1 	155 	8 	5 	1.66666666667 	60
 1 	156 	9 	5 	1.66666666667 	60
 1 	157 	8 	5 	1.66666666667 	61
 1 	158 	9 	5 	1.66666666667 	61
 1 	159 	9 	5 	1.66666666667 	61
 1 	160 	9 	5 	1.66666666667 	61
 1 	161 	8 	5 	1.66666666667 	62
 1 	162 	9 	5 	1.66666666667 	62
 1 	163 	8 	5 	1.66666666667 	62
 1 	164 	9 	5 	1.66666666667 	62
 1 	165 	9 	5 	1.66666666667 	62
 1 	166 	9 	5 	1.66666666667 	62
 1 	167 	9 	5 	1.66666666667 	62
 1 	168 	9 	5 	1.66666666667 	62
 1 	169 	8 	5 	1.66666666667 	62
 1 	170 	8 	5 	1.66666666667 	63
 1 	171 	9 	5 	1.66666666667 	64
 1 	172 	8 	5 	1.66666666667 	64
 1 	173 	8 	5 	1.66666666667 	65
 1 	174 	9 	5 	1.66666666667 	66
 1 	175 	8 	5 	1.66666666667 	66
 1 	176 	9 	5 	1.66666666667 	66
 1 	177 	9 	5 	1.66666666667 	66
 1 	178 	8 	5 	1.66666666667 	67
 1 	179 	8 	5 	1.66666666667 	68
 1 	180 	8 	5 	1.66666666667 	68
 1 	181 	8 	5 	1.66666666667 	69
 1 	182 	8 	5 	1.66666666667 	69
 1 	183 	8 	5 	1.66666666667 	69
 1 	184 	8 	5 	1.66666666667 	69
 1 	185 	9 	5 	1.66666666667 	69
 1 	186 	8 	5 	1.66666666667 	69
 1 	187 	8 	5 	1.66666666667 	69
 1 	188 	8 	5 	1.66666666667 	69
 1 	189 	8 	5 	1.66666666667 	69
 1 	190 	8 	6 	1.66666666667 	70
 1 	191 	8 	6 	1.66666666667 	71
 1 	192 	8 	6 	1.66666666667 	71
 1 	193 	8 	6 	1.66666666667 	72
 1 	194 	8 	6 	1.66666666667 	72
 1 	195 	8 	6 	1.66666666667 	73
 1 	196 	8 	6 	1.66666666667 	74
 1 	197 	8 	6 	1.66666666667 	74
 1 	198 	8 	6 	1.66666666667 	74
 1 	199 	8 	6 	1.66666666667 	75
 2 	0 	16 	0 	-1 	1
 2 	1 	16 	0 	-1 	1
 2 	2 	16 	0 	-1 	1
 2 	3 	16 	0 	-1 	1
 2 	4 	16 	0 	-1 	1
 2 	5 	16 	0 	-1 	1
 2 	6 	16 	0 	-1 	1
 2 	7 	16 	0 	-1 	1
 2 	8 	16 	0 	-1 	1
 2 	9 	16 	0 	-1 	1
 2 	10 	16 	0 	-1 	1
 2 	11 	16 	0 	-1 	1
 2 	12 	16 	0 	-1 	1
 2 	13 	16 	0 	-1 	1
 2 	14 	13 	1 	3.0 	2
 2 	15 	13 	1 	3.0 	2
 2 	16 	14 	1 	3.0 	2
 2 	17 	13 	2 	2.5 	3
 2 	18 	13 	2 	2.5 	3
 2 	19 	12 	4 	3.66666666667 	4
